,AIRPORTS,MONTH,YEAR,PAX,MOVEMENTS,CARGO (KG)
505,LA GOMERA,11,2010,2319,131,655
506,LA PALMA,11,2010,75010,1462,66711
507,LANZAROTE-CESAR MANRIQUE,11,2010,392328,3728,348232
508,LEON,11,2010,6590,360,296
509,LOGROÑO,11,2010,1733,226,0
510,MADRID-CUATRO VIENTOS,11,2010,6,3255,0
511,MADRID-TORREJON,11,2010,2513,1016,0
512,MALAGA-COSTA DEL SOL,11,2010,718655,6740,252963
513,MELILLA,11,2010,23533,718,25807
514,MENORCA,11,2010,74857,1251,145195
515,MURCIA-SAN JAVIER,11,2010,37127,573,780
516,PALMA DE MALLORCA,11,2010,807351,8551,1273068
517,PAMPLONA,11,2010,22777,722,3760
518,REUS,11,2010,27825,1406,18919
519,SABADELL,11,2010,0,2748,0
520,SALAMANCA,11,2010,2187,796,0
521,SAN SEBASTIAN,11,2010,22730,589,1164
522,SANTIAGO-ROSALIA DE CASTRO,11,2010,175911,1729,179366
523,SEVE BALLESTEROS-SANTANDER,11,2010,63214,1120,1523
524,SEVILLA,11,2010,354786,4669,448566
525,SON BONET,11,2010,0,742,0
